epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,976.586,1.17752,4.0534,1.30417,0.70342,0.02243,0.09383,0.04928,1.47595,3.99061,1.56302,0.000235948,0.000235948,0.000235948
2,1936.3,1.25907,3.3994,1.32847,0.36594,0.18518,0.14807,0.08641,1.50396,3.47804,1.56419,0.000317545,0.000317545,0.000317545
3,2899.92,1.27811,2.75961,1.33547,0.35317,0.22527,0.20559,0.12001,1.50232,3.33402,1.58717,0.000242062,0.000242062,0.000242062
