epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1528.44,1.19616,1.37561,1.29598,0.31123,0.3124,0.26476,0.17133,1.6045,2.84054,1.73168,0.000424187,0.000424187,0.000424187
43,1563.99,1.17564,1.35881,1.29173,0.31998,0.32949,0.26867,0.17698,1.58561,2.75998,1.7282,0.000417119,0.000417119,0.000417119
44,1598.75,1.17943,1.35653,1.29548,0.34865,0.30827,0.25915,0.16931,1.60943,2.89221,1.73988,0.00041005,0.00041005,0.00041005
45,1633.02,1.18185,1.33783,1.28528,0.27982,0.32054,0.26604,0.17729,1.6373,2.77703,1.76411,0.000402982,0.000402982,0.000402982
46,1666.77,1.16893,1.35328,1.2833,0.42317,0.32655,0.30278,0.19724,1.60312,2.61821,1.71384,0.000395913,0.000395913,0.000395913
47,1701.25,1.18528,1.33464,1.29018,0.3244,0.29421,0.26114,0.18078,1.58163,2.83127,1.68515,0.000388844,0.000388844,0.000388844
48,1735.56,1.16444,1.32335,1.27462,0.39463,0.28586,0.26001,0.17113,1.58246,2.79229,1.72947,0.000381776,0.000381776,0.000381776
49,1768.71,1.15431,1.29971,1.27615,0.36736,0.30652,0.26842,0.18114,1.64635,2.85991,1.75504,0.000374707,0.000374707,0.000374707
50,1803.83,1.18193,1.31167,1.28369,0.31275,0.33877,0.26103,0.17141,1.62721,2.85136,1.72914,0.000367639,0.000367639,0.000367639
51,1837.66,1.15031,1.31113,1.27577,0.47538,0.25103,0.25944,0.17172,1.63572,2.85655,1.74459,0.00036057,0.00036057,0.00036057
52,1871.65,1.15828,1.27438,1.26189,0.41824,0.28371,0.28165,0.18585,1.58785,2.75832,1.71821,0.000353501,0.000353501,0.000353501
53,1906.09,1.14653,1.27931,1.26409,0.39556,0.29938,0.2743,0.18077,1.62947,2.89716,1.74565,0.000346433,0.000346433,0.000346433
54,1942.92,1.1516,1.29147,1.26597,0.35425,0.28318,0.25276,0.16158,1.63005,2.87109,1.74669,0.000339364,0.000339364,0.000339364
55,1978.29,1.15432,1.27481,1.26698,0.35526,0.29658,0.25817,0.17243,1.63217,2.80159,1.74295,0.000332296,0.000332296,0.000332296
56,2014.09,1.13984,1.25908,1.25628,0.28971,0.33041,0.266,0.17321,1.63567,2.81308,1.73673,0.000325227,0.000325227,0.000325227
57,2049.33,1.12755,1.25161,1.25317,0.32573,0.30228,0.25463,0.1686,1.63534,2.92741,1.7374,0.000318158,0.000318158,0.000318158
58,2085.54,1.1247,1.2699,1.2623,0.30881,0.30621,0.26198,0.16678,1.61734,2.89701,1.73753,0.00031109,0.00031109,0.00031109
59,2121.85,1.14378,1.25385,1.25716,0.32117,0.2902,0.24946,0.17085,1.62609,2.92941,1.74897,0.000304021,0.000304021,0.000304021
60,2157.65,1.135,1.24731,1.24754,0.30774,0.30987,0.25385,0.16828,1.63915,2.92548,1.75353,0.000296953,0.000296953,0.000296953
61,2192.95,1.12486,1.22474,1.2545,0.41052,0.26381,0.26391,0.17984,1.6131,2.85917,1.7442,0.000289884,0.000289884,0.000289884
